Point,Latitude,Longitude,Time (off-peak),Number of people (off-peak),Other transport (off-peak)
Burnett St entrance,-25.75101519,28.23146645,10:00 03/08,8,
Prospect St entrance,-25.75234639,28.2323068,10:05 03/08,31,1 skateboard
South St entrance,-25.75378603,28.2335171,12:45 01/08,14,
Duxbury Rd entrance,-25.75481877,28.2353115,12:52 01/08,15,
Lunnon Rd entrance,-25.75614827,28.23578719,13:08 01/08,43,1 bicycle
Lynnwood Rd (main entrance),-25.75592357,28.23137307,13:55 01/08,9,
Sci-Enza,-25.75205669,28.23188836,09:56 03/08,12,
Old Agriculture,-25.75222357,28.23060924,10:11 03/08,3,
Engineering 1,-25.75325915,28.22862846,10:52 03/08,13,
Steers,-25.75369609,28.22869155,10:49 03/08,21,
Natural Sciences 2,-25.75313992,28.22905491,10:56 03/08,9,
Engineering 3 (behind),-25.75493681,28.22801462,10:44 03/08,6,
Theology walkway,-25.75458016,28.22945624,10:35 03/08,25,
South Campus Bridge,-25.75573594,28.22867983,10:41 03/08,24,
Library,-25.75520438,28.23069958,13:50 01/08,44,
Chancellor's Building,-25.75404116,28.23079899,12:11 01/08,57,
Thuto,-25.75301575,28.23167406,09:51 03/08,10,
Piazza Entrance,-25.7540311,28.23153063,12:31 01/08,76,
EMS bridge,-25.75564641,28.23346513,13:24 01/08,48,
Centenary,-25.75408539,28.23280138,12:37 01/08,11,
Graduate Centre,-25.75511279,28.23404256,12:58 01/08,16,
Monastery Hall,-25.75434073,28.233134,12:41 01/08,20,
Behind EMS,-25.75517681,28.23328974,13:32 01/08,16,
Bioinformatics Building,-25.7559532,28.23477942,13:05 01/08,23,
IT building,-25.75553804,28.23301894,13:28 01/08,80,
SCU tunnel,-25.75460068,28.23167537,13:42 01/08,1,
SSC entrance,-25.7552503,28.23135406,13:46 01/08,21,
Geography-Thuto walkway,-25.75334914,28.23032377,11:01 03/08,20,
Old Arts,-25.75394088,28.22988438,11:04 03/08,23,
Informatorium entrance,-25.75603992,28.23264836,09:58 07/08,2,"1 bicycle, 1 golf-cart"
Behind Agri Annex,-25.75667376,28.23432535,10:08 10/08,14,
